ShowDate	Venue	City	State	Set1	Set2	Set3	Comment	LastUpdate	UpdateID
01/19/86	The Stone	San Francisco	CA	Deep Elem Blues, Friend Of The Devil, Oh Babe It Ain't No Lie, Simple Twist Of Fate, Run For The Roses	Masterpiece, Little Sadie, Spike Driver Blues*, Bird Song, Ripple, Goodnight Irene		*=First time played. Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	13
01/24/86	Constitution Hall	Washington	D.C.	Deep Elem Blues, Friend Of The Devil, Masterpiece, Little Sadie, Spike Driver Blues, Jack-A-Roe, Run For The Roses, Dire Wolf, To Lay Me Down, I've Been All Around This World, Dire Wolf, Ripple, E: Goodnight Irene			Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	14
01/25/86	Tower Theatre	Upper Darby	PA	It Takes A Lot To Laugh It Takes A Train To Cry, Little Sadie, Oh Babe It Ain't No Lie, Deep Elem Blues, Simple Twist Of Fate, Run For The Roses	Dire Wolf, Spike Driver Blues, Jack-A-Roe, Dire Wolf, Ripple, E: Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	15
01/27/86	The Ritz	NYC	NY	Deep Elem Blues, Little Sadie, Friend Of The Devil, Oh Babe It Ain't No Lie, Masterpiece, Run For The Roses	Dire Wolf, Simple Twist Of Fate, Spike Driver Blues, Bird Song, Ripple, E: Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	16
01/28/86	The Ritz	NYC	NY	It Takes A Lot To Laugh It Takes A Train To Cry, Dire Wolf, I've Been All Around This World, Spike Driver Blues, Jack-A-Roe, Run For The Roses	Deep Elem Blues, Oh Babe It Ain't No Lie, Little Sadie, Gomorrah, Bird Song, Ripple, E: Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	17
01/30/86	Bushnell Auditorium	Hartford	CT	Deep Elem Blues, Little Sadie, Friend Of The Devil, Oh Babe It Ain't No Lie, Masterpiece, Run For The Roses	Dire Wolf, I've Been All Around This World, Jack-A-Roe, Bird Song, She Belongs To Me, Ripple, Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	18
01/31/86	Capitol Theater	Passaic	NJ	Deep Elem Blues, Dire Wolf, I've Been All Around This World, Spike Driver Blues, Simple Twist Of Fate, Run For The Roses	Masterpiece, Friend Of The Devil, Jack-A-Roe, Bird Song, Ripple, E: Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	19
02/01/86	Orpheum Theater	Boston	MA	Deep Elem Blues, Little Sadie, Masterpiece, To Lay Me Down, Oh Babe It Ain't No Lie, Run For The Roses	Dire Wolf, Spike Driver Blues, Jack-A-Roe, Bird Song, Ripple, E: Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	20
02/02/86	Orpheum Theater	Boston	MA	It Takes A Lot To Laugh It Takes A Train To Cry, Friend Of The Devil, I've Been All Around This World, Gamblin' Man, Valerie, Run For The Roses	Deep Elem Blues, Spike Driver Blues, Jack-A-Roe, Gomorrah, Bird Song, Ripple, E: Goodnight Irene		Garcia & Kahn. Last show this configuration: Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	21
02/21/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Knockin' On Heaven's Door, That's What Love Will Make You Do, Run For The Roses, Run For The Roses	The Harder They Come, Simple Twist Of Fate, Rubin And Cherise, Gomorrah, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	22
02/28/86	Marin County Veterans Auditorium	San Rafael	CA	Deep Elem Blues, Little Sadie, Friend Of The Devil, Masterpiece, Spike Driver Blues, Run For The Roses	Dire Wolf, Jack-A-Roe, Oh Babe It Ain't No Lie, Bird Song-> Ripple-> Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	23
03/09/86	Keystone Palo Alto	Palo Alto	CA				Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	24
03/10/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Mission In The Rain, Love In The Afternoon, Dear Prudence-> Deal	Cats Under The Stars, Knockin' On Heaven's Door, Rubin And Cherise, Gomorrah-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	25
04/28/86	The Stone	San Francisco	CA				Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	26
05/13/86	The Stone	San Francisco	CA	Deep Elem Blues, Dire Wolf, Spike Driver Blues, I've Been All Around This World, Run For The Roses	Masterpiece, Friend Of The Devil, Bird Song, Ripple, Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	27
05/15/86	Berkeley Community Theater	Berkeley	CA	Ballad Of Casey Jones, Jack-A-Roe, Ripple-> Goodnight Irene			Garcia & Kahn. Wavy Gravy 50th Birthday Party - benefit for just about anything. Other artists: Bob Weir Solo, Mickey Hart, K.B.C. Band, Hot Tuna. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	28
05/18/86	Keystone Palo Alto	Palo Alto	CA	I'll Take A Melody, Simple Twist Of Fate, Get Out Of My Life, Mississippi Moon, Love In The Afternoon-> Deal	Cats Under The Stars, Mission In The Rain, Dear Prudence, Rubin And Cherise-> Gomorrah-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	29
05/19/86	Keystone Palo Alto	Palo Alto	CA	Think, They Love Each Other, Like A Road, Run For The Roses	How Sweet It Is To Be Loved By You, Knockin' On Heaven's Door, Cats Under The Stars, Rubin And Cherise, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	30
05/24/86	Wiltern Theater	Los Angeles	CA	They Love Each Other, I'll Take A Melody, Masterpiece, Like A Road, Run For The Roses	Cats Under The Stars, Mission In The Rain, Think, Rubin And Cherise, Gomorrah, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	31
05/30/86	The Stone	San Francisco	CA	Sugaree-> They Love Each Other, Run For The Roses, Think, Like A Road, Deal	Cats Under The Stars, Knockin' On Heaven's Door, Rubin And Cherise-> Gomorrah-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	32
05/31/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Mission In The Rain, Let It Rock, Dear Prudence, Tangled Up In Blue	The Harder They Come, Simple Twist Of Fate, Think, The Night They Drove Old Dixie Down-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	33
10/04/86	The Stone	San Francisco	CA	Get Out Of My Life, Forever Young, How Sweet It Is To Be Loved By You, Masterpiece, Love In The Afternoon-> Deal	Cats Under The Stars, Mission In The Rain, Rubin And Cherise, That Lucky Old Sun, Dear Prudence-> Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	34
10/05/86	The Stone	San Francisco	CA	Think, Knockin' On Heaven's Door, They Love Each Other-> Run For The Roses, I Shall Be Released, Gomorrah-> Deal	The Harder They Come, I'll Take A Melody, How Sweet It Is To Be Loved By You, That Lucky Old Sun, Rubin And Cherise-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	35
10/18/86	The Stone	San Francisco	CA	Think, And It Stoned Me, Run For The Roses, Let It Rock, Forever Young-> Deal,	The Harder They Come, Knockin' On Heaven's Door, Dear Prudence, That Lucky Old Sun, Gomorrah, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	36
10/19/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Crazy Love, Get Out Of My Life, Run For The Roses, Forever Young, The Harder They Come	Cats Under The Stars, I Shall Be Released, Rubin And Cherise, Mission In The Rain, And It Stoned Me, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	37
10/31/86	Henry J. Kaiser Convention Center	Oakland	CA	How Sweet It Is To Be Loved By You, And It Stoned Me, Forever Young, The Harder They Come, Knockin' On Heaven's Door, Think, That Lucky Old Sun, Dear Prudence, Tangled Up In Blue, E: Werewolves of London			Other artists: Kingfish w/Bob Weir. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	38
11/01/86	Palace of Fine Arts Theatre	San Francisco	CA				Jerry Garcia & Mickey Hart - "Ritual and Rapture" conference w/Joeseph Campbell. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	39
11/10/86	The Stone	San Francisco	CA	Cats Under The Stars, Forever Young, They Love Each Other, Love In The Afternoon, Run For The Roses, Think, Deal	The Harder They Come, And It Stoned Me, Knockin' On Heaven's Door, Rubin And Cherise, That Lucky Old Sun, Gomorrah, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	40
11/11/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Like A Road, Get Out Of My Life, Simple Twist Of Fate, Run For The Roses, I Shall Be Released-> Deal	The Harder They Come, Forever Young, Think, And It Stoned Me, Dear Prudence, That Lucky Old Sun, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	41
11/14/86	Marin County Veterans Auditorium	San Rafael	CA	Deep Elem Blues, Friend Of The Devil, Spike Driver Blues, Little Sadie, Oh Babe It Ain't No Lie, I've Been All Around This World, Ripple, Goodnight Irene			Garcia & Kahn - Bread and Roses benefit. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	42
11/22/86	Warfield Theater	San Francisco	CA	Deep Elem Blues, Throwing Stones*, Ripple			*=only time played. Jerry Garcia, Bob Weir, & Mickey Hart - Jane Dornacker benefit. Other artists: K.B.C. Band, Todd Rundgren, The Tubes. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	43
11/30/86	The Stone	San Francisco	CA	Stop That Train, Think, Run For The Roses, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, Knockin' On Heaven's Door, Crazy Love, I Shall Be Released, Dear Prudence, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	44
12/03/86	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Stop That Train, Simple Twist Of Fate, Evangeline, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, Crazy Love, I Shall Be Released, I Want To Tell You, Gomorrah, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	45
12/21/86	The Stone	San Francisco	CA	Get Out Of My Life, I'll Take A Melody, Forever Young, Crazy Love, Evangeline, Tangled Up In Blue-> I Want To Tell You	The Harder They Come, I Shall Be Released, Think, Stop That Train, That Lucky Old Sun, My Sisters And Brothers-> Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	46
01/24/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Forever Young, Love In The Afternoon, And It Stoned Me, My Sisters And Brothers-> Deal	Evangeline, The Harder They Come, I Shall Be Released, Stop That Train, Think, That Lucky Old Sun-> Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	47
01/25/87	The Stone	San Francisco	CA	I'll Take A Melody, Think, Knockin' On Heaven's Door, Evangeline, Gomorrah, Deal	The Harder They Come, Crazy Love, Simple Twist Of Fate, Stop That Train, My Sisters And Brothers, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	48
02/10/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Forever Young, Crazy Love, Think, Stop That Train, My Sisters And Brothers	The Harder They Come, And It Stoned Me, Run For The Roses, Gomorrah, I Want To Tell You, That Lucky Old Sun, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	49
02/16/87	Veteran's Memorial Auditorium	Petaluma	CA	Fire On The Mountain*			*=only time played. "World Music In Schools" benefit - Jerry Garcia, Mickey Hart, Carlos Santana, Baba Olatunji, Hamza El Din, Bobby Vega. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/12/96 0:00:00	50
02/20/87	Marin County Veterans Auditorium	San Rafael	CA	How Sweet It Is To Be Loved By You, Forever Young, Stop That Train, Run For The Roses, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, I Shall Be Released, Think, Evangeline, Gomorrah, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	51
02/21/87	Lawlor Events Center, U.N.R.	Reno	NV	I'll Take A Melody, Cats Under The Stars, Crazy Love, Dear Prudence-> The Night They Drove Old Dixie Down	The Harder They Come, I Shall Be Released, Gomorrah, Think, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	52
02/24/87	Civic Auditorium	Santa Cruz	CA	Cats Under The Stars, Forever Young, Stop That Train, Run For The Roses, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, I Shall Be Released, Think, Dear Prudence, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	53
03/06/87	USS Carl Vinson, S.F. Bay	San Francisco	CA	How Sweet It Is To Be Loved By You, I'll Take A Melody, Forever Young, Stop That Train, The Harder They Come, Think, That Lucky Old Sun, Deal			Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	54
03/08/87	The Stone	San Francisco	CA	Cats Under The Stars, Knockin' On Heaven's Door, Think, Run For The Roses, The Night They Drove Old Dixie Down, Tangled Up In Blue	The Harder They Come, I Shall Be Released, My Sisters And Brothers, Evangeline, And It Stoned Me, That Lucky Old Sun, I've Got Time*, Midnight Moonlight		*=only time played. Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	55
03/09/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, They Love Each Other, Mission In The Rain, Dear Prudence, Like A Road, My Sisters And Brothers, Deal	And It Stoned Me, Russian Lullaby, Think, Forever Young, Crazy Love, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	56
03/10/87	The Stone	San Francisco	CA	The Harder They Come, I Shall Be Released, Love In The Afternoon, Run For The Roses, Someday Baby, Stop That Train, Deal	I'll Take A Melody, Think, Simple Twist Of Fate, Evangeline, Gomorrah, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	57
03/13/87	Wiltern Theater	Los Angeles	CA	How Sweet It Is To Be Loved By You, Forever Young, Stop That Train, Evangeline, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, Knockin' On Heaven's Door, Think, I Shall Be Released, Dear Prudence, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	58
03/14/87	Wiltern Theater	Los Angeles	CA	Cats Under The Stars, Mission In The Rain, They Love Each Other, Simple Twist Of Fate, Think, Like A Road, Deal	Run For The Roses, Gomorrah, Crazy Love, That Lucky Old Sun, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	59
03/18/87	Old Fillmore	San Francisco	CA	Deep Elem Blues, Little Sadie, Friend Of The Devil, I've Been All Around This World, Rosalie McFall, Ripple			Garcia & Kahn, Nelson & Rothman - benefit for "Artists Rights Today"	2/4/96 0:00:00	60
04/23/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Forever Young, And It Stoned Me, Evangeline, Stop That Train, My Sisters And Brothers, Deal	Get Out Of My Life, I Shall Be Released, Run For The Roses, Think, Gomorrah, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	61
04/24/87	The Stone	San Francisco	CA	Cats Under The Stars, They Love Each Other, Simple Twist Of Fate, Crazy Love, Like A Road-> Deal	The Harder They Come, Knockin' On Heaven's Door, Think, Run For The Roses, My Sisters And Brothers, That Lucky Old Sun, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	62
05/27/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, They Love Each Other, Forever Young, Run For The Roses, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, Simple Twist Of Fate, Evangeline, Think, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	63
05/28/87	The Stone	San Francisco	CA	Cats Under The Stars, Mission In The Rain, Think, Let It Rock, The Night They Drove Old Dixie Down, Tangled Up In Blue	I'll Take A Melody, Stop That Train, I Shall Be Released, Love In The Afternoon, Crazy Love, That Lucky Old Sun, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	64
05/30/87	The Stone	San Francisco	CA	Sugaree, They Love Each Other, Run For The Roses, Think, Like A Road, Deal	Cats Under The Stars, Knockin' On Heaven's Door, Rubin And Cherise, Gomorrah, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	65
05/31/87	The Stone	San Francisco	CA	How Sweet It Is To Be Loved By You, Mission In The Rain, Let It Rock, Dear Prudence, Tangled Up In Blue	The Harder They Come, Simple Twist Of Fate, Think, The Night They Drove Old Dixie Down, Midnight Moonlight		Jerry Garcia, Gloria Jones, John Kahn, David Kemper, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	66
08/29/87	French's Camp, Eel River	Piercy	CA	Acoustic:, Deep Elem Blues, I've Been All Around This World, Friend Of The Devil, I'm Troubled, Little Sadie, Diamond Joe, Oh Babe It Ain't No Lie, Troubled In Mind, Ripple	Electric:, How Sweet It Is To Be Loved By You, Forever Young, Get Out Of My Life, Run For The Roses, And It Stoned Me, My Sisters And Brothers, Deal	The Harder They Come, I Shall Be Released, Think, Evangeline, Gomorrah, Let It Rock, That Lucky Old Sun, Tangled Up In Blue	Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/4/96 0:00:00	67
08/30/87	Greek Theatre, U. Of California	Berkeley	CA	Cats Under The Stars, Mission In The Rain, Stop That Train, Dear Prudence, Evangeline, I Shall Be Released, My Sisters And Brothers, Tangled Up In Blue	I'll Take A Melody, Think*, Knockin' On Heaven's Door*, And It Stoned Me, That Lucky Old Sun, Midnight Moonlight		*=w/Bonnie Raitt. Bonnie Raitt opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/4/96 0:00:00	68
10/15/87	Lunt-Fontanne Theatre	NYC	NY	Acoustic:, Bright Morning Stars, Blue Yodel No. 9 (Standing On The Corner), Spike Driver Blues, Short Life Of Trouble, Two Soldiers, I'm Troubled, Oh Babe It Ain't No Lie, Rosalie McFall, Long Long Way,	Electric:, How Sweet It Is To Be Loved By You, Forever Young, Stop That Train, Think, Mission In The Rain, Evangeline, My Sisters And Brothers, That Lucky Old Sun, Deal, E: And It Stoned Me		Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/4/96 0:00:00	69
